document_url,year,number,extract
http://190.107.120.16:8080/apex/f?p=104:3000:8105332068485:APPLICATION_PROCESS=E1D$ADJUNTO:NO::F104_E1D_TE1D100_ID:6638,2024,1299,MODIFICACIÓN DE LOS ARTS. 3°) Y 5°) DE LA ORDENANZA N° 693-IAL/O/2015- PRÓRROGA PLANOS OBRAS Y TRASLADO DE PLANTA FRIGORÍFICA MARFRIG ARGENTINA S.A.
http://190.107.120.16:8080/apex/f?p=104:3000:8105332068485:APPLICATION_PROCESS=E1D$ADJUNTO:NO::F104_E1D_TE1D100_ID:6637,2024,1298,DISPOSICIÓN DE DEPÓSITOS PARA COLILLAS DE CIGARRILLOS EN PARADAS DE COLECTIVO Y DEMÁS ESPACIOS PÚBLICOS QUE SE CONSIDEREN PERTINENTES.
http://190.107.120.16:8080/apex/f?p=104:3000:8105332068485:APPLICATION_PROCESS=E1D$ADJUNTO:NO::F104_E1D_TE1D100_ID:6636,2024,1297,HOMOLOGACIÓN DE DECRETO MUNICIPAL N° 4759/2024- FACTIBILIDAD URBANÍSTICA PARA EMPLAZAMIENTO DE AERÓDROMO EN LA CIUDAD DE VILLA MERCEDES.
http://190.107.120.16:8080/apex/f?p=104:3000:8105332068485:APPLICATION_PROCESS=E1D$ADJUNTO:NO::F104_E1D_TE1D100_ID:6635,2024,1296,HOMOLOGACIÓN DE DECRETOS MUNICIPALES N° 0029/2001 Y N° 4848/2024- DONACIÓN DE TERRENO A AMUYÉN.
http://190.107.120.16:8080/apex/f?p=104:3000:8105332068485:APPLICATION_PROCESS=E1D$ADJUNTO:NO::F104_E1D_TE1D100_ID:6634,2024,1295,PRESTACIÓN DE ACUERDO A DECRETO MUNICIPAL N° 4632/2024-HOMOLOGACIÓN DE CONVENIO ESPECÍFICO DE COOPERACIÓN CELEBRADO CON LA UNIVERSIDAD NACIONAL DE ARTE.
http://190.107.120.16:8080/apex/f?p=104:3000:8105332068485:APPLICATION_PROCESS=E1D$ADJUNTO:NO::F104_E1D_TE1D100_ID:6633,2024,1294,HOMOLOGACIÓN DE DECRETO MUNICIPAL N° 5027/2024- RECOMPOSICIÓN SALARIAL DEL 15% PARA PERSONAL DE OBRAS SANITARIAS MERCEDES.
http://190.107.120.16:8080/apex/f?p=104:3000:8105332068485:APPLICATION_PROCESS=E1D$ADJUNTO:NO::F104_E1D_TE1D100_ID:6632,2024,1293,PRESTACIÓN DE ACUERDO A DECRETO MUNICIPAL N° 5026/2024- RECOMPOSICIÓN SALARIAL DEL 15% PARA PERSONAL MUNICIPAL.
http://190.107.120.16:8080/apex/f?p=104:3000:8105332068485:APPLICATION_PROCESS=E1D$ADJUNTO:NO::F104_E1D_TE1D100_ID:6631,2024,1292,"DECLARAR A VILLA MERCEDES ZONA DE ALERTA Y VIGILANCIA SANITARIA POR EL TÉRMINO DE UN AÑO, PRORROGABLE POR IGUAL TÉRMINO MEDIANTE DECRETO MUNICIPAL."
http://190.107.120.16:8080/apex/f?p=104:3000:8105332068485:APPLICATION_PROCESS=E1D$ADJUNTO:NO::F104_E1D_TE1D100_ID:6630,2024,1291,ESTABLECER EL 17 DE SEPTIEMBRE DE CADA AÑO COMO DÍA MUNICIPAL DE LA SEGURIDAD DEL PACIENTE.
http://190.107.120.16:8080/apex/f?p=104:3000:8105332068485:APPLICATION_PROCESS=E1D$ADJUNTO:NO::F104_E1D_TE1D100_ID:6629,2024,1290,"PRESUPUESTO GENERAL DE GASTOS Y CÁLCULOS DE RECURSOS, CORRESPONDIENTE AL EJERCICIO 2025, PERTENECIENTE A OBRAS SANITARIAS MERCEDES."
